グリッドi,断面積比A,U1,U2,U3,密度rho,速度V,温度T,マッハ数M,圧力P
19.0,1.792,1.532818407992612,0.6067128332857004,3.7456846842202913,0.8553674151744486,0.39581520558606487,0.9335958780710196,0.40965004905366675,0.7985674930431277
20.0,1.6654999999999998,1.3942022418196915,0.601527315498602,3.4062865460763656,0.8371073202159662,0.43144910935840824,0.9251503267414076,0.4485629750738189,0.7744501108154253
21.0,1.55,1.2691626643011658,0.5966348671398627,3.1048387522537952,0.8188146221297843,0.4701011808193913,0.9166685107185891,0.49100417583968686,0.7505815802223137
22.0,1.4455,1.1570809034328635,0.5921036714902366,2.8390726567224296,0.8004710504551114,0.5117219286340005,0.9081397665522782,0.5369794692768691,0.7269395928921618
23.0,1.3519999999999999,1.057337722483768,0.5880232413637269,2.606740080917288,0.7820545284643254,0.5561356876423693,0.899551972307101,0.5863644538046635,0.7034986935317838
24.0,1.2694999999999999,0.9693154196329009,0.5845041472809849,2.405611950349381,0.7635410946300913,0.6030071692270699,0.890892591924153,0.638866037997567,0.6802331048356071
25.0,1.1979999999999997,0.8924006832613856,0.5816750410184718,2.233478288647474,0.7449087506355474,0.651809273489875,0.8821505834484485,0.6939835435889378,0.657121688989003
26.0,1.1375,0.8259881612720511,0.5796761125937486,2.088148926078276,0.7261434384809241,0.7017971198292078,0.8733192519004388,0.7509742822963181,0.6341550444665729
27.0,1.088,0.7694840591288293,0.5786479728885232,1.9674530681500408,0.7072463778757622,0.7519947502793481,0.8643999219540797,0.8088303690099534,0.6113437138381144
28.0,1.0494999999999999,0.7223090730392222,0.5787153485351951,1.8692316587742348,0.6882411367691494,0.8012018263873728,0.8554034611978327,0.866276292215032,0.5887238505310615
29.0,1.022,0.6838947770577172,0.5799816764809027,1.7914102451212914,0.6691729716807409,0.8480568881899141,0.8463933778307935,0.9218045714952916,0.5663835718539322
30.0,1.0055,0.6538297924957304,0.5824935164785362,1.731433090704775,0.6502533988023176,0.8908947300414427,0.8370220039086907,0.9737735018507804,0.544276402913953
31.0,1.0,0.6310806237790239,0.5855981404964365,1.6894322201759986,0.6310806237790239,0.9279292033873104,0.8297238987474964,1.018704074450205,0.5236226755859337
32.0,1.0055,0.5994607107983401,0.5903910614938905,1.6207840935368072,0.5961817113857186,0.9848703190366372,0.8099033204411039,1.0943656667982475,0.4828495476375534
