ステップ数,時間ステップ,密度rho,温度T,圧力P,マッハ数M
100.0,0.010935584119019686,0.6726683100368106,0.8288654589810944,0.5575515275406981,1.0584286782318364
101.0,0.010933606750665582,0.6729251066917113,0.8289488929329017,0.5578205222188489,1.0582684187185463
102.0,0.010932158363484394,0.673169342187185,0.8290268239423952,0.5580754417288335,1.0580978180382568
103.0,0.010931002955411752,0.6734025868379501,0.829100204618773,0.5583182225381554,1.0579190641667688
104.0,0.010929928433441542,0.6736258597644066,0.8291697149870764,0.5585501621487773,1.057733677912987
105.0,0.010928751432075433,0.6738395208187478,0.8292357042468588,0.5587717895955001,1.057542395091423
106.0,0.010927320665982678,0.6740432323650444,0.82929816733488,0.55898281730481,1.0573451319691283
107.0,0.010925517499852674,0.6742359912819329,0.8293567565358932,0.5591821748693466,1.0571410329478337
108.0,0.01092325950295236,0.6744162264040219,0.8294108258019497,0.5593681192759945,1.0569285932349466
109.0,0.010920501017635162,0.6745819517171651,0.8294595030303109,0.5595384104245369,1.0567058439363244
110.0,0.01091723201580925,0.674730961723424,0.8295017836164854,0.5596905362108467,1.056470582690324
111.0,0.010913475440352401,0.6748610526286193,0.8295366372481043,0.5598219682072608,1.0562206301287267
112.0,0.010909283323024014,0.6749702515999496,0.8295631192389046,0.5599304273107224,1.0559540912644947
113.0,0.010904732030913918,0.6750570363549617,0.8295804777408848,0.560014138721695,1.0556696013861462
114.0,0.01089991702431422,0.6751205287004668,0.8295882488658919,0.5600720571780353,1.0553665380369763
115.0,0.01089494750817001,0.6751606481433092,0.8295863329850726,0.5601040462690328,1.0550451838941404
116.0,0.010889941331989433,0.6751782150566495,0.8295750471057006,0.5601109995603629,1.0547068294708544
117.0,0.010885020445414832,0.6751749967689257,0.8295551500830994,0.5600948957770023,1.0543538091441282
118.0,0.010880307155605208,0.6751536940047794,0.8295278393488912,0.5600587850162071,1.0539894686756224
119.0,0.01087592136525793,0.6751178690357523,0.8294947196854852,0.5600067075304734,1.0536180668131079
120.0,0.010871978902257584,0.6750718204392362,0.8294577462419854,0.5599435507330032,1.0532446174794765
121.0,0.010868590989686476,0.6750204123351294,0.8294191453948583,0.559874853523088,1.0528746823032968
122.0,0.010865864842697501,0.6749688682635228,0.8293813181660615,0.5598065696814553,1.0525141257250796
123.0,0.010863905316705653,0.6749225414425443,0.8293467317061374,0.5597448039001741,1.0521688465949932
124.0,0.010862817597887611,0.6748866740136569,0.8293178048315983,0.5596955350031044,1.0518445010697888
125.0,0.010862710971399946,0.6748661581164289,0.829296793710042,0.5596643411093687,1.051546231863574
126.0,0.01086370390660124,0.6748653113062161,0.8292856834701438,0.5596561409368668,1.0512784186094477
127.0,0.010865931908121173,0.6748876773630308,0.8292860928943341,0.5596749651029197,1.051044460749808
128.0,0.010869537989697566,0.6749358632560899,0.8292991955675264,0.5597237684579494,1.0508466070632392
129.0,0.010874659445718072,0.6750114200925047,0.8293256622813587,0.5598042930156969,1.0506858398819372
130.0,0.010881420636470547,0.6751147740874059,0.8293656278020336,0.5599169884494295,1.050561820119739
131.0,0.01088992440718815,0.6752452114354854,0.8294186840233756,0.5600609946619064,1.0504728966674601
132.0,0.010900242747911033,0.6754009187245619,0.8294839003606687,0.5602341883708285,1.0504161808608032
133.0,0.01087101410518649,0.6755783712526856,0.8295595971710987,0.5604325215138849,1.0503877092409295
134.0,0.01084003460370734,0.6757736383619152,0.8296438518827186,0.5606514443313786,1.0503823459651118
135.0,0.0108122201996901,0.6759823183630919,0.8297345194326509,0.5608858640719693,1.05039442597567
136.0,0.010787961895877524,0.6761997250048296,0.8298293298491393,0.56113036464493,1.0504180740741555
137.0,0.010767580273739228,0.6764211416749524,0.8299260113125403,0.5613795000777679,1.0504475028280942
138.0,0.010751254991522715,0.676642074589681,0.8300224123363034,0.5616280870391679,1.0504773038091446
139.0,0.010738999798473373,0.676858497090084,0.8301166191578337,0.561871487252673,1.0505027223545813
140.0,0.010730666849245854,0.6770670779973164,0.8302070649259148,0.5621058715821174,1.0505199076298182
141.0,0.010726018701793096,0.6772653881052774,0.8302926278155953,0.5623284588184798,1.0505261305471845
142.0,0.010724756093239803,0.6774520766879801,0.8303727143695502,0.5625377197746867,1.0505199619638221
143.0,0.010726543849766356,0.6776270112046253,0.8304473249516426,0.5627335387698579,1.0505014043867429
144.0,0.010731036591065418,0.6777913742268304,0.8305170985944683,0.5629173255752247,1.050471971442756
145.0,0.010737901419498062,0.6779477127825716,0.8305833350542466,0.5630920722753469,1.0504347108034509
146.0,0.010746840151805256,0.6780999369799402,0.830647992625798,0.5632623514520675,1.050394168095248
147.0,0.010757608145050172,0.6782532666967444,0.8307136611270447,0.5634342543490304,1.0503562915104168
148.0,0.010770026594015866,0.6784141272618989,0.8307835104226564,0.5636152701669631,1.0503282792331368
149.0,0.010783989825778178,0.6785899972474252,0.8308612158479811,0.5638141101752738,1.050318374150538
150.0,0.010799462980796423,0.6787892133434169,0.8309508627555218,0.5640404824568542,1.0503356124124101
151.0,0.010812378904897125,0.6790206474522181,0.831056793156854,0.5643047217589311,1.050389504497263
152.0,0.010775046969007034,0.679292201277795,0.8311829147246778,0.5646160718078201,1.0504891015512314
153.0,0.010741495979678,0.6796124934129351,0.8313334080607229,0.5649845703096209,1.0506430731373129
154.0,0.010712266506540355,0.6799897307958679,0.8315122408451886,0.5654197848057887,1.0508593965352344
155.0,0.010687912725308142,0.68043147741338,0.8317230536870414,0.5659305462190415,1.051145096941269
156.0,0.010668890686022434,0.6809444410124249,0.8319690547267784,0.5665247029105617,1.0515060151413773
157.0,0.010655412537867344,0.6815342722734263,0.8322529205568155,0.567208888559123,1.0519465978683886
158.0,0.010647410528810968,0.6822053761293143,0.8325767035347631,0.5679883031914377,1.052469709777935
159.0,0.010644638804227287,0.6829607434732797,0.832941749804778,0.5688665167166057,1.053076474843028
160.0,0.010646717295504758,0.6838018061900275,0.8333486298859082,0.5698452983019687,1.0537661523251527
