グリッドi,断面積比A,U1,U2,U3,密度rho,速度V,温度T,マッハ数M,圧力P
1.0,5.95,5.95,0.5679665976109437,14.912951300706093,1.0,0.09545657102704935,1.0,0.09545657102704935,1.0
2.0,5.625500000000001,5.665857284141065,0.5908098861255944,14.246112193274092,1.0071739906036912,0.10427546203454367,1.0027070290904452,0.10413460958430698,1.009900439895395
3.0,5.311999999999999,5.318913994530705,0.613653174640245,13.352033219682085,1.0013015802956902,0.11537189269675124,1.0003902603883668,0.11534938674409821,1.0016923486392886
4.0,5.009500000000001,5.019210919391008,0.5955046351294189,12.605670567462383,1.0019385007268204,0.11864507084744563,1.000652348457069,0.11860639080661281,1.0025921137618476
5.0,4.718000000000001,4.720828733912632,0.5915501536047366,11.855163471986046,1.0005995620840678,0.12530642117034793,1.0001020256729187,0.12530002942346502,1.0007016489277116
6.0,4.4375,4.439059900032286,0.5885540760777469,11.152127652852997,1.0003515267678391,0.13258529718724144,0.9999868774747561,0.1325861671227579,1.0003383996296764
7.0,4.168,4.169112680467171,0.5873803985886379,10.480016020590528,1.0002669578855976,0.1408885879579582,0.9999333846699237,0.14089328086231942,1.0002003247720337
8.0,3.9095,3.9093268082086503,0.586973020752791,9.832912194417103,0.9999556997592148,0.15014682822635556,0.9997854032336766,0.1501629413316727,0.9997411124995799
9.0,3.662000000000001,3.6576743734007358,0.5914350516202566,9.204845728307928,0.9988187802841985,0.1616970214520129,0.9993128414491869,0.16175260584558823,0.9981324334186135
10.0,3.4255000000000004,3.402288091608253,0.6014542361744863,8.554721898351103,0.9932237896973442,0.1767793378985083,0.9970107636816212,0.1770441493432028,0.9902548090729031
11.0,3.2,3.144535437250007,0.628867185220043,7.894447359972666,0.9826673241406272,0.19998731061209052,0.9930130152168442,0.20068964732249145,0.9758014424999522
12.0,2.9855,2.9006470809130676,0.6629087437408595,7.267773209694704,0.9715783221949649,0.22853822793643294,0.9876035266911077,0.2299680695213009,0.9595341774563767
13.0,2.782,2.67963716190795,0.6744296377831315,6.7059426681272765,0.9632053062214055,0.25168692514434504,0.9832855248514661,0.25381707331190484,0.9471058350676319
14.0,2.5895,2.4568361167216697,0.6771492731257003,6.12803959150151,0.9487685332001041,0.27561841366499795,0.9764420483321352,0.27892342681237864,0.926417489950985
15.0,2.408,2.2449622036516432,0.6697552249048568,5.5770473466296115,0.9322932739417124,0.2983369714712509,0.9687786130185913,0.30310618988354027,0.9031857848558136
16.0,2.2375,2.0464614959956773,0.6592314372137695,5.06326544348706,0.9146196630148279,0.3221323433173267,0.9606070997656837,0.32867103752406296,0.8785901418773407
17.0,2.078,1.8632147202884735,0.6481371193384607,4.593616728841957,0.8966384601965706,0.34785959571965624,0.952288360354387,0.35646734366950267,0.8538583690912744
18.0,1.9294999999999998,1.695224881173058,0.6373102769382977,4.168082480770904,0.8785824727510019,0.37594438591373974,0.9439142312523586,0.3869522148207213,0.8293064993585583
19.0,1.792,1.541989177880418,0.6269369818172936,3.784732681709868,0.8604850322993404,0.40657677162109945,0.9354940030935891,0.42036065410893614,0.8049785874678262
20.0,1.6654999999999998,1.4028874599398395,0.617083611527752,3.441239085602887,0.8423221014349083,0.4398667955548014,0.9270123127874684,0.45685504813305106,0.7808429593631749
21.0,1.55,1.2772788902976044,0.6078179818092697,3.1352457206223345,0.8240508969661964,0.4758694333918326,0.9184450925710482,0.4965479698307761,0.7568455023473736
22.0,1.4455,1.1645173781482054,0.5992292889543993,2.8644269554640753,0.8056156196113493,0.5145730756781689,0.9097619063094481,0.5394897336653252,0.7329184018502883
23.0,1.3519999999999999,1.063955875331567,0.5914306892050202,2.626500773372834,0.7869496119316325,0.5558789635150133,0.9009268575810665,0.5856463920726238,0.7089840409522055
24.0,1.2694999999999999,0.9749504608794262,0.5845587467677815,2.4192394271385806,0.7679798825359797,0.5995778967482072,0.8919006910109966,0.6348737403284496,0.6849617879163843
25.0,1.1979999999999997,0.896866558641148,0.5787710313631181,2.240484461083279,0.7486365264116429,0.6453256906356507,0.8826451922603606,0.6868879139668232,0.6607804307877331
26.0,1.1375,0.8290861395525192,0.574241001201459,2.0881603600700567,0.7288669358703466,0.6926192271304799,0.8731295930913413,0.7412337566509044,0.6363952911342085
27.0,1.088,0.7710166981237878,0.5711558977451899,1.960307513494546,0.708655053422599,0.740782786073318,0.8633461752485386,0.7972571030195179,0.6118146299429497
28.0,1.0494999999999999,0.7221120220588192,0.5696940233368839,1.854991802965776,0.6880533797606663,0.788927487611444,0.8532630194396118,0.8540742457161786,0.587090504350216
29.0,1.022,0.6817007287074094,0.5699509693079577,1.7706130615518088,0.66702615333406,0.8360721139152318,0.8432139927797918,0.9104892781070667,0.5624457860413584
30.0,1.0055,0.6500428580630428,0.5726443331715452,1.7055023164324918,0.6464871785808481,0.8809331970477685,0.8321785663350008,0.9656832828193224,0.5379927734253698
31.0,1.0,0.6259670288737702,0.5762099323643837,1.659652945801023,0.6259670288737702,0.9205116336575926,0.8232813065568031,1.014507248587328,0.5153469533926777
32.0,1.0055,0.592727848558593,0.581114437798431,1.5922445491379211,0.58948567733326,0.980406841371797,0.8053844966008483,1.0924578771107631,0.4747626254924577
33.0,1.022,0.5673323542568546,0.5879605849105588,1.5401323916013179,0.5551197204078812,1.0363600462743308,0.7851448498968383,1.1695957151683984,0.4358493895544207
34.0,1.0495,0.5474911369499127,0.5955465721465368,1.497104522019479,0.5216685440208791,1.0877739052806266,0.7624821204897241,1.2457296579028276,0.3977629376378269
35.0,1.088,0.5312003519994968,0.6022801839343683,1.4585517619606028,0.4882356176465963,1.1338098359071473,0.7383593935568812,1.3194906526538086,0.36049335455841014
36.0,1.1375,0.5172393543705454,0.6076345884924194,1.4223618703970822,0.45471591593014976,1.1747648034861549,0.7135438964892835,1.3907228124101685,0.3244597664484925
37.0,1.198,0.5048436808781867,0.6117284774071869,1.3877797046699445,0.421405409748069,1.2117185984047019,0.6884584645170176,1.460369997006354,0.29012012133432025
38.0,1.2695000000000003,0.4930783230410063,0.6143754658967439,1.3536806720102732,0.3884035628523089,1.2459997472767628,0.6634422655598992,1.5297356451468238,0.2576833396902725
39.0,1.3520000000000003,0.48162557155115776,0.6161650454851433,1.3189471046822636,0.35623193162067873,1.279344540408596,0.6371305670993472,1.602777729965075,0.22696625261237893
40.0,1.4455000000000005,0.46714554254171115,0.6122985739881366,1.281200609470082,0.323172288164449,1.3107233575571682,0.6160074015889456,1.67000616182188,0.1990765214977362
41.0,1.55,0.4519703091993443,0.6125513909667619,1.235493597092384,0.2915937478705447,1.355291218248127,0.5791209901548853,1.780934598906925,0.1688680599897638
42.0,1.6655000000000006,0.5981463641178663,0.6504746221469955,1.5261230596299948,0.35913921592186493,1.087484035962171,0.6894342818464239,1.3097139490006233,0.2476028874119787
43.0,1.7920000000000003,0.997545418488319,0.5947411035883923,2.4810032225196603,0.5566659701385708,0.5962045362201787,0.8953144550422729,0.6300970957630108,0.49839108969519264
44.0,1.9294999999999998,1.1239246086920829,0.5709043185786473,2.8250155155008585,0.5824952623436553,0.5079560623225536,0.9331656157301905,0.5258317238297869,0.543564550144836
45.0,2.0780000000000007,1.2224533460390608,0.5952827924899702,3.070723564468107,0.5882836121458423,0.48695747319828536,0.9383783489592369,0.5026920833640239,0.5520326046851917
46.0,2.2375,1.348200993012668,0.6111600184347028,3.38555614601032,0.6025479298380639,0.4533152116058115,0.9469277858106764,0.46584545481284984,0.5705693770463647
47.0,2.4080000000000013,1.472319302345104,0.6171525444033077,3.6868181984801525,0.6114282817047771,0.4191703140890089,0.9524384485841835,0.4295087923573324,0.5823478040473911
48.0,2.5895,1.5992854965475851,0.614297179087794,3.9887294589021938,0.6176039762686175,0.38410726565950337,0.9563171204448412,0.3927819815969951,0.5906252561604883
49.0,2.782000000000002,1.7323312767721697,0.608072038347268,4.304817959559373,0.622692766632699,0.35101371573702733,0.959495190636019,0.35834610274713735,0.5974707148279116
50.0,2.985500000000001,1.87355372459529,0.6012376776917409,4.6433586912774105,0.627551071711703,0.3209076258657143,0.9625129833393821,0.32709713433751647,0.6040260542310577
51.0,3.2,2.0237000860529406,0.5945742271799954,5.007081344125164,0.6324062768915439,0.29380550570596814,0.9655183494319282,0.2990058353127176,0.6105998646347144
