グリッドi,断面積比A,U1,U2,U3,密度rho,速度V,温度T,圧力P,マッハ数M
1.0,5.95,5.95,0.7459008673487962,14.940455071048435,1.0,0.12536149031072205,1.0,0.12536149031072205,0.0
2.0,5.625500000000001,5.683523405713888,0.7407201726635069,14.206946314890239,1.0103143552953315,0.130327636535961,0.995113058499515,0.13064726026890025,0.0
3.0,5.311999999999999,5.367776483062214,0.7355394779782175,13.421891647702049,1.010500090937917,0.13702870831138003,0.9949250809996318,0.13737774216123128,0.0
4.0,5.009500000000001,5.063048190510624,0.7303588996471134,12.664579575180953,1.0106893283782061,0.14425280427233192,0.9947233111626048,0.14463490569278925,0.0
5.0,4.718000000000001,4.769338509914777,0.7251784506641368,11.935031697724835,1.0108814137165698,0.15205011117508094,0.9945066594239329,0.1524694712566656,0.0
6.0,4.4375,4.52154064957721,0.6437177202595677,11.233268698967477,1.0189387379328922,0.14236689884005777,0.9880807182939851,0.143223015293774,0.0
7.0,4.168,4.440275208427595,0.6321261518436865,11.575248562846978,1.0653251459759105,0.14236193077490283,1.0370758147033767,0.13979402720919656,0.0
8.0,3.9095,4.181552529914161,0.7627178747130035,10.740516050385283,1.0695875508157466,0.1824006440805517,1.0181033778364788,0.18077169424503972,0.0
9.0,3.662000000000001,3.8493581553477423,0.750842240959613,9.81667454472995,1.0511627950157678,0.19505647712112767,1.0094311314272264,0.19414313084833298,0.0
10.0,3.4255000000000004,3.537623376199321,0.7394569088402388,8.958674332560248,1.0327319737846505,0.2090264650033722,1.0007258712197684,0.20895064313100453,0.0
11.0,3.2,3.245735456571703,0.7285535095287224,8.163779079685696,1.014292330178657,0.22446484603469644,0.9919853212247514,0.22536979616452563,0.0
12.0,2.9855,2.9730820703168757,0.7181236796048767,7.429311465864293,0.9958405862726095,0.24154182852017198,0.9832075211314472,0.24359577620703557,0.0
13.0,2.782,2.719051293248191,0.7081590618468112,6.752653185952583,0.9773728588239363,0.2604434361371834,0.974391095426628,0.2638437210537983,0.0
14.0,2.5895,2.4830315957641145,0.6986513062174686,6.131244508868235,0.9588845706754642,0.2813702843770981,0.9655356327153296,0.2863479488672748,0.0
15.0,2.408,2.264411835993462,0.6895920709994008,5.562583156487251,0.9403703637846603,0.30453474056182767,0.9566422062807448,0.3113594663123149,0.0
16.0,2.2375,2.082211974919206,0.5288901364945475,4.981531982571679,0.930597530690148,0.2540039836794568,0.9389041846505475,0.26213794505578153,0.0
17.0,2.078,2.283437919638725,0.4883358471819771,6.850904868534735,1.098863291452707,0.21385991840725818,1.1872974491907384,0.19626805985484566,0.0
18.0,1.9294999999999998,2.1390018405231417,0.725185716568183,6.259597622822574,1.1085783055315583,0.3390299638035011,1.1383806645564156,0.317756415678098,0.0
19.0,1.792,1.922157574501117,0.7098501393694123,5.532735400802485,1.072632575056427,0.3692986198353947,1.1131725719124732,0.3500228817944935,0.0
20.0,1.6654999999999998,1.726508825803545,0.6957404847097719,4.8921646072176115,1.036630937138124,0.4029753420958987,1.0879546412157932,0.3863430268611652,0.0
21.0,1.55,1.5472237481716171,0.7608926618019509,4.352624116574769,0.99820886978814,0.49177933230478904,1.0575562123539557,0.47820987783618985,0.0
22.0,1.4455,1.0546221587365887,0.7652755249008587,2.8688829177337496,0.7295898711425726,0.7256395274471,0.9406830599978293,0.748168243290706,0.0
23.0,1.3519999999999999,0.945486245552368,0.6231017606212124,2.620695524061502,0.6993241461186155,0.659027842607257,0.9871096692176611,0.6633168963729901,0.0
24.0,1.2694999999999999,0.880574317089556,0.6189912851121107,2.4712691598338496,0.6936386901059914,0.7029404254691182,0.984216468575758,0.7085544111120132,0.0
25.0,1.1979999999999997,0.8240355069024338,0.6149907645812117,2.3435996764873708,0.6878426601856711,0.746315855845793,0.981664264893301,0.7532535334589607,0.0
26.0,1.1375,0.7757004701607726,0.6110987905545577,2.236511687522348,0.6819344792622177,0.7878025269572168,0.9795090453587515,0.7960001399250666,0.0
27.0,1.088,0.7353998746852449,0.6073138434268823,2.1487363880458576,0.6759190024680559,0.8258280485658444,0.9777867446530607,0.8351559056821204,0.0
28.0,1.0494999999999999,0.702964369604905,0.6036343984935247,2.0789518992927625,0.669808832401053,0.858698427109175,0.9765012495768577,0.8689689644004,0.0
29.0,1.022,0.6782245533027635,0.6000590800577283,2.025846172924585,0.6636248075369506,0.8847498621741262,0.9756147181666235,0.8957386871988726,0.0
30.0,1.0055,0.6610109493402365,0.5965868168321192,1.9881958443088321,0.6573952753259438,0.9025369661842669,0.9750438699429381,0.9140141531862941,0.0
31.0,1.0,0.6511539990081809,0.5932169309636005,1.964947156190167,0.6511539990081809,0.9110240156202243,0.9746651324882536,0.9227883661984988,0.0
32.0,1.0055,0.6484840750510572,0.5899491087195885,1.9552807460199788,0.6449369219801663,0.9097356919260352,0.9743291311880551,0.921642280883986,0.0
33.0,1.022,0.6528315139737622,0.5867832543549087,1.9586437621456387,0.6387783894068123,0.8988280157971847,0.9738817249922982,0.9108009867059166,0.0
34.0,1.0495,0.6640266575257603,0.5837192882418026,1.9747409364085338,0.6327076298482708,0.8790600221033412,0.973186190525232,0.8910879294494822,0.0
35.0,1.088,0.6818998911797094,0.5807569740433127,2.003487852718015,0.6267462235107623,0.8516748302138367,0.9721406945915292,0.8637921459451483,0.0
36.0,1.1375,0.7062816700491289,0.5778958330645945,2.044939662862258,0.6209069626805529,0.8182228954411291,0.9706871432682673,0.8304853752925394,0.0
37.0,1.198,0.7370025287676594,0.5751351515833695,2.0992129113025664,0.6151940974688309,0.7803706624250693,0.9688107284135313,0.7928325359680685,0.0
38.0,1.2695000000000003,0.7738930777815144,0.5724740466306072,2.1664161732103477,0.6096046299972542,0.7397327396591964,0.9665323391404151,0.7524309403281423,0.0
39.0,1.3520000000000003,0.8167839916695129,0.5699115460281283,2.2465991412491997,0.6041301713531898,0.6977506315509743,0.9638973645443658,0.7106975885176441,0.0
40.0,1.4455000000000005,0.8655059951406795,0.567446652374852,2.3397229409041533,0.598758903590923,0.6556241730972865,0.9609642142331428,0.6688078320375408,0.0
41.0,1.55,0.9198898505346176,0.5650783806262961,2.445649282865652,0.5934773229255597,0.6142891785335889,0.9577947653693993,0.6276776071623308,0.0
42.0,1.6655000000000006,0.9797663484949244,0.5628057727800284,2.5641434497273377,0.5882715992164059,0.574428560079234,0.9544476625697582,0.5879764951671624,0.0
43.0,1.7920000000000003,1.044966301917773,0.5606278983086881,2.694885689860759,0.5831285166951857,0.5365033276956361,0.9509744274709111,0.5501587198416581,0.0
44.0,1.9294999999999998,1.1153205425016175,0.558543848273238,2.837486468383865,0.5780360417214914,0.5007922180115569,0.9474178153718023,0.5145016810633044,0.0
45.0,2.0780000000000007,1.1906599190421232,0.5565527282068785,2.9915023755435146,0.5729835991540533,0.46743215195706,0.9438117074461809,0.4811449164278261,0.0
46.0,2.2375,1.2708152967427269,0.5546536521751474,3.156450784725907,0.5679621437956321,0.4364549699683348,0.9401818980964199,0.4501253795982923,0.0
47.0,2.4080000000000013,1.3556175570313178,0.5528457386773732,3.331822348731101,0.5629641017571915,0.40781836721564474,0.9365472967621358,0.4214071734821321,0.0
48.0,2.5895,1.4448975975753255,0.5511281082051641,3.5170910833345834,0.5579832390713749,0.38143056582695484,0.9329212297620467,0.39490533792305693,0.0
49.0,2.782000000000002,1.5384863323333917,0.5494998819985758,3.7117221662657096,0.5530144976036631,0.35716916715481,0.9293126628433586,0.37050411314056386,0.0
50.0,2.985500000000001,1.636214691572343,0.5479601815498683,3.91517775954261,0.5480538240068138,0.3348950381464295,0.9257272598552947,0.34807047565517274,0.0
51.0,3.2,1.7379136218277427,0.546508128514279,4.126921218459202,0.5430980068211696,0.314462192856008,0.9221682520886448,0.32746384382904714,0.0
52.0,3.4255000000000013,1.8434140858096348,0.5451428448057661,4.346420037341815,0.5381445295021556,0.29572457376896805,0.9186371255671603,0.30854280118636745,0.0
53.0,3.662000000000001,1.95254706226386,0.5438634527493057,4.573147837270691,0.5331914424532659,0.27854050909212347,0.915134148928032,0.29116956939005356,0.0
54.0,3.909500000000002,2.065143545800773,0.5426690752246373,4.806585646082396,0.5282372543293955,0.2627754745320688,0.9116587694882186,0.2752128273957893,0.0
55.0,4.168000000000001,2.1810345467015746,0.5415588357746063,5.046222667665609,0.5232808413391492,0.24830364864858162,0.9082099044672662,0.2605493441850401,0.0
56.0,4.4375,2.300051090710054,0.5405318586720957,5.291556691017343,0.5183213725543784,0.2350086312670676,0.9047861511332402,0.24706478073250682,0.0
57.0,4.718000000000002,2.4220242188151557,0.5395872689495008,5.542094251326599,0.5133582490070273,0.2227835976031093,0.9013859355871214,0.23465392562827853,0.0
58.0,5.009500000000001,2.5467849870279284,0.5387241923984201,5.797350625249534,0.5083910544022213,0.2115310853261726,0.8980076159071816,0.2232205571291285,0.0
59.0,5.312000000000003,2.6741644661550614,0.5379417555477695,6.056849719488577,0.5034195154659374,0.2011625546431806,0.8946495518477366,0.2126770697002565,0.0
60.0,5.6255000000000015,2.803993741570226,0.5372390856275701,6.32012389450999,0.49844347019291174,0.19159781909025167,0.8913101503594222,0.20294396220385105,0.0
61.0,5.95,2.9338230169853903,0.5365364157073707,10.159885100157519,0.49307949865300676,0.1828796122332837,1.3758430473245213,0.15591246772265102,0.6784
