グリッドi,断面積比A,U1,U2,U3,密度rho,速度V,温度T,マッハ数M,圧力P
17.0,2.078,2.0442121373138615,0.6352767234828106,5.162713278637878,0.983740200824765,0.3107684921182289,0.983169289394007,0.31341720143440716,0.967183154193202
18.0,1.9294999999999998,1.8874799301569498,0.6350188041329372,4.773508069841969,0.9782223011956207,0.3364373808627112,0.9799218845574124,0.33986662195312506,0.9585814409037013
19.0,1.792,1.7401032528088778,0.6352526898041276,4.407444834329809,0.9710397616120969,0.3650660894856105,0.9758290783643879,0.3695597086903972,0.9475688356291075
20.0,1.6654999999999998,1.6029248257835411,0.6350757079663816,4.067829321036459,0.9624285954869657,0.39619806103879146,0.971149294979005,0.4020400757988539,0.9346618519748008
21.0,1.55,1.4749461007954054,0.6352487974333095,3.7512182223919526,0.9515781295454229,0.4306928891101404,0.9653777104297111,0.43834803884358714,0.9186323159955474
22.0,1.4455,1.3567740964984245,0.6351151965803343,3.4599704955744177,0.9386192296772221,0.46810681175255753,0.9587032297064257,0.4780825207531874,0.8998572869561102
23.0,1.3519999999999999,1.2474762906933805,0.6352523047095043,3.1910761617771866,0.922689564122323,0.5092299624840279,0.9506019565382793,0.5222934713301274,0.8771105049321323
24.0,1.2694999999999999,1.1475552854559836,0.6351372003964446,2.9463985572115634,0.9039427219030987,0.5534698052861753,0.9412454833651637,0.5704827017008121,0.8508320042121038
25.0,1.1979999999999997,1.0559867501118254,0.6352514948552653,2.7228607051874563,0.8814580551851633,0.601571463645727,0.9300708687290591,0.6237767823710209,0.8198184591342917
26.0,1.1375,0.9733194544123264,0.6351359785493669,2.5222587887656145,0.8556654544284188,0.6525462690282412,0.9173308308827541,0.6813155730422854,0.7849283022684908
27.0,1.088,0.8982087484977979,0.6352352816627161,2.340829998014067,0.8255595114869465,0.7072245541196414,0.902397002575866,0.74448938255065,0.7449824286138167
28.0,1.0494999999999999,0.8316326436239851,0.6351036595077513,2.1812414539447085,0.7924084265116582,0.7636829366632071,0.8858377499344666,0.811401852999767,0.7019452975701984
29.0,1.022,0.7712868412682486,0.6351960848658977,2.0374996348594907,0.7546837977184429,0.8235536390345088,0.86676806210102,0.8845867712401924,0.6541358128474529
30.0,1.0055,0.7220388326394478,0.6350485949639681,1.921261193186261,0.718089341262504,0.8795213861871076,0.8477571840367725,0.9552359634138002,0.6087653978355213
31.0,1.0,0.668213890096315,0.6350611124514787,1.7953495556327563,0.668213890096315,0.9503859794951915,0.8218101130806013,1.048369264648187,0.5491449325820811
32.0,1.0055,0.6290139129318475,0.6351066262632944,1.7045557415281494,0.6255732600018373,1.009686134449791,0.7985037326572046,1.1299205753614399,0.4995225831620031
33.0,1.022,0.592746402951081,0.6349616357971996,1.6215841580163415,0.5799866956468503,1.0712197199948297,0.7729820066856352,1.2184111555268533,0.44831927985207315
