ステップ数,時間ステップ密度rho,,温度T,圧力P,マッハ数M
86,0.010168488,0.670623991,0.758448807,0.508633966,1.557709892
87,0.010178114,0.672580825,0.759756407,0.510997591,1.554478178
88,0.010187714,0.674510487,0.761048692,0.513335324,1.551230571
89,0.010197275,0.676412508,0.762325483,0.515646491,1.547967629
90,0.010206786,0.678286441,0.763586609,0.517930443,1.544689916
91,0.010216233,0.680131858,0.764831909,0.520186548,1.541398006
92,0.010223234,0.681947932,0.766060948,0.52241368,1.538093245
93,0.010212033,0.683731151,0.76727146,0.524607399,1.534782101
94,0.010200971,0.685481372,0.768463441,0.526767374,1.531465141
95,0.010190062,0.687198476,0.769636898,0.528893303,1.528142919
96,0.010179315,0.688882365,0.770791845,0.530984909,1.524815977
97,0.010168744,0.69053296,0.771928308,0.533041939,1.521484842
98,0.010158356,0.692150201,0.773046318,0.535064164,1.518150033
99,0.010148163,0.693734047,0.774145916,0.537051379,1.514812051
100,0.010138116,0.695284464,0.775227142,0.539003388,1.511471408
101,0.010127197,0.696801283,0.776289938,0.540919825,1.508128937
102,0.010116461,0.698284516,0.777334365,0.54280055,1.504785117
103,0.010105918,0.699734188,0.77836049,0.544645445,1.501440411
104,0.010095576,0.70115034,0.779368387,0.54645441,1.498095269
105,0.010085444,0.702533026,0.780358135,0.548227362,1.494750127
106,0.010075528,0.703882311,0.781329815,0.549964236,1.491405407
107,0.010065835,0.705198272,0.782283515,0.551664983,1.488061519
108,0.01005637,0.706480997,0.783219325,0.55332957,1.484718857
109,0.010047139,0.707730584,0.784137341,0.554957978,1.481377806
110,0.010038146,0.708947138,0.785037659,0.556550202,1.478038736
111,0.010028508,0.710130673,0.785920302,0.558106113,1.474702298
112,0.010018712,0.711281274,0.786785344,0.559625681,1.471368975
113,0.010009149,0.712399082,0.787632893,0.56110895,1.468039104
114,0.009999823,0.713484247,0.788463063,0.562555975,1.464713013
115,0.009990738,0.714536923,0.789275969,0.563966822,1.461391016
116,0.009981899,0.715557274,0.790071725,0.56534157,1.458073416
117,0.009973308,0.716545467,0.79085045,0.566680305,1.454760504
118,0.009964967,0.717501674,0.791612262,0.567983123,1.451452561
119,0.009956878,0.718426075,0.792357282,0.569250132,1.448149857
120,0.00994868,0.719318818,0.793085604,0.570481399,1.444852771
121,0.009939772,0.720180012,0.793797283,0.571676937,1.441561872
122,0.009931113,0.72100986,0.794492447,0.572836888,1.438277401
123,0.009922706,0.721808567,0.795171225,0.573961402,1.434999589
124,0.009914553,0.722576343,0.795833746,0.575050638,1.431728656
125,0.009906655,0.723313401,0.79648014,0.576104758,1.428464816
126,0.009899013,0.724019956,0.797110536,0.577123935,1.425208271
127,0.009891627,0.724696227,0.797725065,0.578108345,1.421959216
128,0.009884498,0.725342434,0.798323856,0.579058169,1.418717839
129,0.009877081,0.725958769,0.798907008,0.579973548,1.415484498
130,0.009869134,0.726545415,0.799474609,0.580854611,1.412259621
131,0.009861443,0.727102611,0.800026793,0.581701571,1.409043371
132,0.009854009,0.727630601,0.800563698,0.582514645,1.405835905
133,0.009846831,0.728129626,0.801085459,0.583294056,1.402637374
134,0.009839908,0.728599934,0.801592212,0.584040033,1.399447923
135,0.009833241,0.729041771,0.802084092,0.584752807,1.396267691
136,0.009826829,0.729455388,0.802561236,0.585432618,1.393096812
137,0.009820669,0.729841037,0.803023778,0.586079707,1.389935417
138,0.00981353,0.730198929,0.803471799,0.586694247,1.386784028
139,0.009806569,0.730529328,0.803905437,0.587276498,1.383642789
140,0.009799863,0.730832506,0.804324834,0.587826734,1.380511814
141,0.00979341,0.731108735,0.804730132,0.588345229,1.377391216
142,0.009787209,0.731358293,0.805121476,0.588832268,1.374281108
143,0.009781259,0.731581458,0.805499007,0.589288138,1.371181598
144,0.009775559,0.731778516,0.80586287,0.589713135,1.368092796
145,0.009770106,0.731949753,0.806213212,0.590107561,1.365014811
146,0.009763944,0.732095448,0.806550145,0.59047169,1.361948052
147,0.009757711,0.732215904,0.806873812,0.590805838,1.358892726
148,0.009751728,0.732311433,0.807184369,0.591110342,1.355848941
149,0.009745992,0.732382354,0.807481972,0.591385547,1.352816807
150,0.009740503,0.732428992,0.807766781,0.591631809,1.349796436
151,0.009735257,0.732451681,0.808038958,0.591849493,1.346787948
152,0.009730254,0.732450761,0.808298667,0.592038974,1.343791467
153,0.00972549,0.732426584,0.808546079,0.592200642,1.340807121
154,0.009719911,0.732379514,0.808781338,0.592334883,1.337835369
155,0.009714392,0.732309931,0.809004623,0.592442119,1.334876408
156,0.009709115,0.732218225,0.809216119,0.59252279,1.331930384
157,0.009704079,0.7321048,0.809416015,0.59257735,1.328997457
158,0.009699282,0.731970072,0.80960451,0.592606272,1.326077796
159,0.00969472,0.731814473,0.809781805,0.592610045,1.323171584
160,0.009690391,0.731638449,0.80994811,0.592589179,1.320279019
161,0.00968617,0.731442468,0.810103638,0.592544205,1.317400351
162,0.009681107,0.731227039,0.810248601,0.592475685,1.314536124
163,0.009676282,0.730992671,0.810383234,0.592384205,1.311686578
164,0.00967169,0.730739895,0.810507785,0.592270374,1.308851975
165,0.00966733,0.730469266,0.810622511,0.592134831,1.306032596
166,0.009663199,0.730181363,0.810727678,0.591978241,1.303228745
167,0.009659295,0.729876789,0.810823567,0.591801301,1.300440753
168,0.009655615,0.729556177,0.810910468,0.591604741,1.297668976
169,0.009651387,0.729220218,0.810988681,0.591389343,1.294914019
170,0.009647001,0.728869624,0.811058526,0.591155922,1.292176399
171,0.009642842,0.728505126,0.811120339,0.590905325,1.289456557
172,0.009638908,0.728127493,0.811174476,0.590638438,1.286754967
173,0.009635196,0.727737532,0.811221308,0.590356192,1.284072137
174,0.009631705,0.727336089,0.811261224,0.590059566,1.281408619
175,0.009628431,0.726924053,0.811294636,0.589749585,1.278765002
176,0.009625129,0.726502368,0.811321973,0.589427334,1.276141988
177,0.009621165,0.726072056,0.811343685,0.589093978,1.273540491
178,0.009617421,0.725634153,0.811360253,0.58875071,1.270961231
179,0.009613895,0.725189744,0.811372178,0.588398782,1.26840498
180,0.009610585,0.724739974,0.811379989,0.588039512,1.265872563
181,0.009607487,0.724286044,0.811384243,0.587674284,1.263364863
182,0.009604599,0.723829218,0.811385526,0.587304551,1.260882823
183,0.00960183,0.72337083,0.811384454,0.586931846,1.258427474
184,0.009598287,0.722912326,0.811381677,0.586557815,1.256000135
185,0.009594958,0.722455177,0.811377878,0.586184148,1.253601938
186,0.009591839,0.722000929,0.811373778,0.585812621,1.251234088
187,0.00958893,0.721551208,0.811370133,0.585445099,1.248897868
188,0.009586226,0.721107725,0.81136774,0.585083545,1.246594641
189,0.009583726,0.72067228,0.811367439,0.584730022,1.244325855
190,0.009581225,0.720246774,0.811370112,0.584386706,1.242093094
191,0.009578065,0.719833233,0.811376687,0.584055903,1.239898178
192,0.009575113,0.719433743,0.811388139,0.583740006,1.237742819
193,0.009572365,0.719050501,0.811405495,0.583441528,1.235628828
194,0.00956982,0.718685812,0.811429833,0.583163108,1.233558118
195,0.009567474,0.7183421,0.811462286,0.582907523,1.231532714
196,0.009565324,0.718021913,0.811504046,0.582677687,1.229554753
197,0.009563369,0.717727924,0.811556364,0.582476665,1.227626486
198,0.009560935,0.717462963,0.81162055,0.582307684,1.225750419
199,0.009558374,0.71722998,0.811697975,0.582174122,1.223929098
200,0.009556011,0.717032059,0.811790083,0.582079515,1.222165128
201,0.009553843,0.716872435,0.811898385,0.582027572,1.220461245
202,0.009551867,0.7167545,0.812024462,0.582022187,1.21882032
203,0.009549945,0.716681806,0.812169969,0.58206744,1.217245375
204,0.009547344,0.716658069,0.81233662,0.582167593,1.215739682
205,0.009544938,0.716687161,0.812526216,0.582327107,1.214306488
206,0.009542727,0.716773127,0.812740636,0.582550647,1.212949177
207,0.009540707,0.716920188,0.812981834,0.58284309,1.211671262
208,0.009538875,0.717132742,0.813251846,0.583209526,1.210476385
209,0.00953723,0.717415365,0.813552783,0.583655267,1.209368306
210,0.009535768,0.717772813,0.813886831,0.58418584,1.208350901
211,0.009534487,0.718210015,0.814256251,0.584806994,1.207428148
212,0.009533176,0.718732058,0.814663366,0.585524677,1.206604129
213,0.009531326,0.719344149,0.815110533,0.586344992,1.205883028
214,0.009529662,0.720051674,0.815600195,0.587274286,1.205269
215,0.009528073,0.720860144,0.816134839,0.588319077,1.204766232
216,0.009525813,0.721775104,0.816716938,0.589485953,1.204378924
217,0.009523742,0.722802247,0.817349037,0.590781721,1.204111172
218,0.009521858,0.723947327,0.818033687,0.592213301,1.203966988
219,0.009520158,0.72521612,0.818773434,0.593787693,1.203950253
220,0.00951864,0.726614382,0.819570793,0.595511925,1.20406466
221,0.009517301,0.728147802,0.820428226,0.597393009,1.204313659
222,0.009516139,0.72982194,0.821348114,0.599437873,1.204700383
223,0.00951515,0.731642157,0.822332725,0.601653288,1.205227573
224,0.009514334,0.733613543,0.823384176,0.604045783,1.205897499
225,0.009513687,0.735740825,0.824504396,0.606621545,1.206711865
226,0.009513207,0.738028268,0.825695081,0.609386311,1.207671714
227,0.009511784,0.740479273,0.826957493,0.612344883,1.208777186
228,0.009509868,0.743096599,0.82829259,0.615501407,1.210027547
229,0.009508133,0.745882343,0.829701028,0.618859346,1.211421143
230,0.009506577,0.748837643,0.831183011,0.622421127,1.212955235
231,0.009505198,0.751962537,0.832738244,0.626187963,1.214625884
232,0.009503993,0.755255814,0.834365862,0.630159669,1.21642785
233,0.00950296,0.758714861,0.836064382,0.634334471,1.218354497
234,0.009502096,0.762335516,0.837831636,0.638708813,1.220397708
235,0.0095014,0.766111926,0.839664726,0.64327716,1.222547817
236,0.009500868,0.770036412,0.841559972,0.648031822,1.224793559
237,0.009500499,0.774099356,0.843512877,0.652962775,1.227122047
238,0.009500289,0.778289104,0.845518097,0.658057522,1.229518777
239,0.009500238,0.782591906,0.847569428,0.663300974,1.231967662
240,0.009500341,0.786991885,0.849659803,0.66867537,1.234451109
241,0.009500598,0.791471052,0.851781316,0.674160255,1.236950124
242,0.009501005,0.796009369,0.853925255,0.679732504,1.23944447
243,0.00950156,0.800584862,0.856082164,0.685366421,1.241912852
244,0.009502262,0.805173796,0.858241921,0.691033905,1.244333156
245,0.009503107,0.809750908,0.860393844,0.696704696,1.246682707
246,0.009504093,0.814289691,0.862526817,0.702346695,1.248938579
247,0.009505219,0.818762748,0.864629429,0.707926367,1.251077919
248,0.009506482,0.823142187,0.866690143,0.713409219,1.253078296
249,0.009507879,0.827400057,0.868697469,0.718760335,1.25491806
250,0.009509408,0.831508826,0.870640153,0.723944971,1.256576704
251,0.009511068,0.835441869,0.872507367,0.728929186,1.258035221
252,0.009512857,0.839173968,0.874288902,0.733680486,1.259276437
253,0.009514771,0.842681791,0.87597535,0.738168477,1.260285322
254,0.009516809,0.845944358,0.877558282,0.742365477,1.261049261
255,0.009518969,0.848943448,0.8790304,0.746247098,1.261558281
256,0.009521249,0.85166396,0.880385669,0.749792745,1.261805226
257,0.009523647,0.854094197,0.881619426,0.752986036,1.261785876
258,0.00952616,0.856226077,0.882728451,0.755815118,1.261499003
259,0.009528787,0.858055247,0.883711012,0.75827287,1.260946375
260,0.009531526,0.859581121,0.884566876,0.760356987,1.26013269
261,0.009534375,0.860806823,0.885297284,0.762069942,1.259065463
262,0.009537331,0.861739045,0.885904899,0.763418841,1.257754855
263,0.009540394,0.862387837,0.886393721,0.764415164,1.256213467
264,0.00954356,0.862766326,0.886768988,0.765074422,1.254456081
265,0.009546829,0.862890384,0.887037041,0.765415733,1.252499391
266,0.009550198,0.862778256,0.887205189,0.765461346,1.250361697
267,0.009553666,0.862450165,0.887281557,0.765236125,1.248062598
268,0.009557231,0.861927903,0.887274926,0.764767016,1.245622677
269,0.00956089,0.861234421,0.88719458,0.76408251,1.24306319
270,0.009564642,0.860393438,0.88705015,0.763212128,1.240405771
271,0.009568486,0.859429063,0.886851468,0.762185926,1.237672144
272,0.009572419,0.858365455,0.886608432,0.761034051,1.234883868
273,0.00957644,0.85722651,0.886330881,0.759786329,1.232062097
274,0.009580547,0.856035594,0.886028484,0.758471919,1.229227377
275,0.009584738,0.854815306,0.885710645,0.757119016,1.226399459
276,0.009589011,0.853587294,0.885386422,0.7557546,1.223597152
277,0.009593365,0.852372096,0.885064458,0.754404247,1.220838194
278,0.009597798,0.851189024,0.88475293,0.753091984,1.218139155
279,0.009602308,0.850056078,0.884459507,0.75184018,1.21551536
280,0.009606892,0.848989886,0.884191315,0.750669483,1.212980832
281,0.009611551,0.848005667,0.883954921,0.749598782,1.210548257
282,0.00961628,0.847117218,0.883756315,0.74864519,1.208228961
283,0.00962108,0.846336906,0.883600903,0.747824054,1.206032893
284,0.009625947,0.845675677,0.883493504,0.747148967,1.203968632
285,0.00963088,0.845143068,0.883438349,0.746631797,1.202043385
286,0.009635876,0.844747225,0.883439078,0.746282709,1.200262997
287,0.009640934,0.844494913,0.883498749,0.746110199,1.198631963
288,0.009646052,0.844391537,0.883619835,0.746121111,1.197153439
289,0.009651228,0.844441149,0.883804224,0.746320655,1.195829256
290,0.009656459,0.844646454,0.884053223,0.74671242,1.194659928
291,0.009661743,0.845008812,0.884367556,0.747298378,1.193644666
292,0.009667078,0.845528236,0.884747359,0.748078874,1.192781392
293,0.009672461,0.846203384,0.885192181,0.749052619,1.192066744
294,0.00967789,0.847031551,0.885700979,0.750216674,1.191496098
295,0.009683363,0.848008661,0.886272118,0.751566432,1.191063581
296,0.009688876,0.849129256,0.886903366,0.753095596,1.190762094
297,0.009694427,0.850386497,0.887591902,0.754796168,1.190583347
298,0.009700013,0.851772161,0.888334314,0.756658438,1.190517893
299,0.009705631,0.853276662,0.889126612,0.758670988,1.190555181
300,0.009711278,0.854889073,0.889964244,0.760820707,1.190683618
301,0.00971695,0.856597166,0.890842114,0.763092831,1.190890648
302,0.009722645,0.858387481,0.891754615,0.765470998,1.191162845
303,0.009728358,0.860245399,0.892695663,0.767937337,1.191486022
304,0.009734086,0.862155253,0.893658749,0.770472585,1.191845355
305,0.009739824,0.864100454,0.894636988,0.773056228,1.192225532
306,0.009745569,0.866063647,0.895623192,0.775666687,1.192610905
307,0.009751316,0.868026888,0.896609937,0.778281533,1.192985666
308,0.00975706,0.869971844,0.897589652,0.780877725,1.193334028
309,0.009762797,0.871880017,0.898554707,0.783431894,1.19364042
310,0.00976852,0.873732978,0.899497508,0.785920636,1.193889683
311,0.009774226,0.875512618,0.900410596,0.788320838,1.194067268
312,0.009779908,0.877201406,0.901286753,0.790610007,1.194159434
313,0.00978556,0.878782646,0.9021191,0.79276661,1.194153436
314,0.009791175,0.880240726,0.902901198,0.794770406,1.194037697
315,0.009796746,0.88156136,0.90362714,0.79660277,1.193801976
316,0.009802268,0.882731803,0.904291638,0.798246988,1.193437501
317,0.00980773,0.883741052,0.904890097,0.799688526,1.19293709
318,0.009813127,0.884579999,0.905418684,0.800915259,1.192295238
319,0.009818448,0.885241568,0.90587437,0.801917647,1.191508178
320,0.009823685,0.885720793,0.906254971,0.802688872,1.190573915
321,0.009828676,0.88601487,0.906559164,0.8032249,1.189492245
322,0.009815385,0.886123143,0.90678615,0.803524193,1.188267102
323,0.009803499,0.886048102,0.906936771,0.803589605,1.186902253
324,0.009793085,0.885794122,0.907012635,0.80342646,1.185402904
325,0.00978419,0.88536732,0.907016052,0.803042371,1.183775578
326,0.009771016,0.884775798,0.906950045,0.80244745,1.182029059
327,0.009759099,0.884028964,0.906818272,0.801653617,1.180172347
328,0.00974861,0.883137406,0.906624894,0.800674357,1.178215277
329,0.009739601,0.882112703,0.90637449,0.799524451,1.176168375
330,0.009731422,0.880967305,0.906072005,0.798219813,1.174042864
331,0.009719471,0.879714906,0.905722842,0.796777885,1.171851436
332,0.00970891,0.878369056,0.905332464,0.795216022,1.169605929
333,0.009699791,0.876943484,0.904906438,0.793551805,1.167318251
334,0.00969215,0.875451939,0.904450373,0.791802833,1.165000246
335,0.009684417,0.873908301,0.903969937,0.789986832,1.162663977
336,0.009673779,0.872326682,0.903470888,0.788121763,1.160321926
337,0.009664551,0.870720132,0.90295865,0.786224275,1.157985152
338,0.009656767,0.869101187,0.902438466,0.784310341,1.155664234
339,0.009650449,0.867481797,0.901915367,0.782395164,1.153369217
340,0.009642201,0.865873836,0.901394332,0.780493768,1.151110352
341,0.009632866,0.864288311,0.90088002,0.778620071,1.14889701
342,0.009624948,0.862735051,0.900376663,0.776786506,1.14673728
343,0.009618468,0.861223104,0.899888187,0.775004498,1.144638543
344,0.009613432,0.859760728,0.89941821,0.773284455,1.142607472
345,0.00960487,0.858356107,0.898970256,0.77163661,1.140651012
346,0.009596816,0.857015954,0.89854731,0.77006938,1.138774456
347,0.009590176,0.855746043,0.898151982,0.768590005,1.136982172
348,0.009584958,0.854551369,0.897786563,0.767204736,1.135277809
349,0.00957946,0.853436351,0.897453079,0.765919081,1.13366459
350,0.009571279,0.852404858,0.897153292,0.764737825,1.13214535
351,0.009564489,0.851459493,0.89688849,0.763664219,1.130721498
352,0.0095591,0.850602148,0.896659654,0.762700628,1.129393778
353,0.009555107,0.84983402,0.896467467,0.761848552,1.128162292
354,0.009548781,0.849155881,0.896312375,0.761108924,1.127026937
355,0.009541833,0.848567607,0.896194462,0.76048159,1.125986682
356,0.009536268,0.848068272,0.89611349,0.759965418,1.125039644
357,0.009532083,0.84765633,0.89606895,0.759558518,1.124183377
358,0.009528242,0.847329669,0.89606007,0.759258282,1.123414975
359,0.00952116,0.847085634,0.896085787,0.759061397,1.122731216
360,0.009515444,0.846920798,0.896144767,0.758963641,1.122127962
361,0.009511094,0.846831203,0.896235437,0.758960133,1.121600619
362,0.009508093,0.846812379,0.896356,0.759045357,1.121144164
363,0.009502609,0.846859337,0.896504376,0.759213101,1.120753314
364,0.009496707,0.846966558,0.896678281,0.759456518,1.120422261
365,0.009492158,0.847128104,0.896875268,0.759768245,1.12014479
366,0.00948895,0.847337653,0.897092719,0.760140439,1.119914408
367,0.009486536,0.84758852,0.897327846,0.760564782,1.119724394
368,0.009480484,0.847873564,0.897577604,0.761032322,1.119567886
369,0.009475766,0.848185503,0.897838947,0.761533979,1.119437761
370,0.009472371,0.848516864,0.898108741,0.762060413,1.119326821
371,0.009470271,0.84886003,0.898383786,0.762602088,1.119227832
372,0.009464613,0.849207116,0.898660695,0.763149058,1.119133625
373,0.009459866,0.849550383,0.8989362,0.763691594,1.11903707
374,0.009456452,0.849882161,0.899207061,0.76422004,1.11893118
375,0.009454348,0.850194892,0.899470078,0.764724866,1.118809163
376,0.009449621,0.850481076,0.899722017,0.765196549,1.118664542
377,0.009444261,0.85073356,0.89995981,0.765626014,1.118491154
378,0.009440222,0.850945578,0.900180576,0.766004681,1.118283179
379,0.009437489,0.851110737,0.900381582,0.766324431,1.118035208
380,0.009436031,0.85122307,0.900560268,0.766577676,1.117742281
381,0.009435807,0.851277089,0.90071427,0.766757422,1.117399926
382,0.009434636,0.851267834,0.900841409,0.766857316,1.117004284
383,0.009427225,0.851191033,0.900939717,0.766871809,1.116552362
384,0.00942116,0.851043098,0.901007613,0.766796311,1.116041493
385,0.00941644,0.850821076,0.901043779,0.766627038,1.115469594
386,0.009413049,0.85052266,0.901047163,0.76636103,1.114835171
387,0.009410957,0.850146196,0.901016984,0.765996161,1.114137322
388,0.00941012,0.849690686,0.900952732,0.765531145,1.113375727
389,0.009410482,0.849155779,0.900854169,0.764965524,1.112550637
390,0.009411977,0.848541761,0.900721322,0.764299656,1.111662861
391,0.009414528,0.847849538,0.900554475,0.763534695,1.110713745
392,0.009418051,0.847080609,0.900354167,0.762672556,1.109705149
393,0.009422456,0.846237042,0.900121175,0.76171588,1.108639416
394,0.009427646,0.845321434,0.899856502,0.760667989,1.10751934
395,0.009433523,0.844336879,0.899561364,0.759532835,1.106348134
396,0.009439986,0.843286919,0.899237174,0.758314946,1.105129387
397,0.009446933,0.842175502,0.898885519,0.757019363,1.103867023
398,0.009454263,0.841006931,0.898508148,0.75565158,1.102565259
399,0.009461877,0.839785814,0.898106944,0.754217472,1.10122856
400,0.009469678,0.838517013,0.89768391,0.752723231,1.09986159
401,0.009477574,0.837205587,0.897241143,0.751175297,1.098469167
402,0.009485477,0.835856742,0.896780812,0.749580288,1.097056215
403,0.009493303,0.83447578,0.89630514,0.747944931,1.09562772
404,0.009500975,0.833068044,0.89581638,0.746276,1.094188679
405,0.009508423,0.831638874,0.895316796,0.744580253,1.092744063
406,0.009515582,0.830193557,0.894808641,0.742864369,1.091298772
407,0.009522393,0.828737284,0.894294141,0.741134897,1.089857593
408,0.009528805,0.827275112,0.893775474,0.739398206,1.088425171
409,0.009534773,0.825811925,0.89325476,0.737660433,1.087005967
410,0.009540258,0.824352402,0.892734038,0.735927449,1.085604232
411,0.009545227,0.822900988,0.892215259,0.734204819,1.084223979
412,0.009549653,0.821461869,0.891700272,0.732497772,1.082868962
413,0.009553516,0.820038949,0.891190811,0.730811176,1.081542652
414,0.0095568,0.818635833,0.890688492,0.729149516,1.080248219
415,0.009559493,0.817255814,0.890194802,0.727516878,1.078988526
416,0.00956159,0.81590186,0.889711091,0.725916935,1.077766109
417,0.00956309,0.814576608,0.889238573,0.724352941,1.076583178
418,0.009563997,0.813282356,0.888778318,0.722827725,1.075441606
419,0.009564317,0.812021065,0.888331252,0.72134369,1.074342931
420,0.009564063,0.810794358,0.887898156,0.719902815,1.073288356
421,0.009563251,0.809603518,0.887479664,0.718506658,1.072278751
422,0.009559383,0.8084498,0.887076371,0.717156715,1.071314907
423,0.009555073,0.807333793,0.886688611,0.715853679,1.070397004
424,0.009550558,0.806255749,0.886316569,0.714597829,1.069524896
425,0.009546199,0.805215583,0.885960283,0.713389025,1.068698112
426,0.009542054,0.80421292,0.885619664,0.712226776,1.067915908
427,0.009538175,0.803247111,0.8852945,0.71111025,1.067177274
428,0.009534618,0.802317249,0.884984458,0.710038295,1.066480954
429,0.00953143,0.801422175,0.884689095,0.709009459,1.06582546
430,0.009527737,0.800560585,0.88440789,0.708022098,1.065209143
431,0.009523724,0.799730932,0.88414021,0.707074275,1.064630134
432,0.00952001,0.798931414,0.883885313,0.706163744,1.06408634
433,0.009516645,0.798160043,0.88364237,0.705288031,1.063575499
434,0.009513676,0.79741466,0.883410471,0.70444446,1.063095202
