グリッドi,断面積比A,U1,U2,U3,密度rho,速度V,温度T,マッハ数M,圧力P
51,3.2,2.054620064,0.649844098,5.173008214,0.64206877,0.316284314,0.979087756,0.319644212,0.628641671
52,3.4255,2.261527934,0.628129202,5.694263204,0.660203747,0.277745498,0.985553365,0.279773744,0.650666024
53,3.662,2.403847964,0.642842018,6.047548158,0.656430356,0.267422078,0.986287177,0.269274709,0.647428843
54,3.9095,2.605355746,0.632858128,6.545556183,0.666416612,0.242906609,0.988417555,0.244325674,0.658697878
55,4.168,2.778810269,0.640251492,6.974743892,0.66670112,0.230404897,0.989125744,0.231667948,0.659451242
56,4.4375,2.977785502,0.63429662,7.481458958,0.671050254,0.213009506,0.992265038,0.213838127,0.665859706
57,4.718,3.173420935,0.637900078,7.965992545,0.672619952,0.201013383,0.992775202,0.201743482,0.667760409
58,5.0095,3.387158209,0.635850788,8.497445564,0.676146963,0.187723971,0.993622375,0.188325466,0.671834751
59,5.312,3.589681715,0.635358501,9.027073108,0.675768395,0.176995776,0.997119498,0.177251246,0.673821843
60,5.6255,3.809319231,0.633902074,9.59104931,0.677152116,0.166408231,0.999360586,0.166461458,0.676719136
61,5.95,4.028956748,0.632445648,10.16069473,0.677135588,0.15697504,1.001867295,0.156828686,0.6784
